ResultID,WOID,MachineID,MachineName,ChecklistID,TaskNo,TaskDescription,TaskType,AcceptanceStandard,Mandatory,SafetyCritical,Result,MeasuredValue,Observation,TechID,RecordedDate,AbnormalityRaised
WO-00001-T01,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,OK,,,TECH-02,2024-09-06,No
WO-00001-T02,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,OK,,,TECH-02,2024-09-06,No
WO-00001-T03,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,OK,17.47,,TECH-02,2024-09-06,No
WO-00001-T04,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,OK,,,TECH-02,2024-09-06,No
WO-00001-T05,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,OK,,,TECH-02,2024-09-06,No
WO-00001-T06,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,OK,41.95,,TECH-02,2024-09-06,No
WO-00001-T07,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,OK,43.97,,TECH-02,2024-09-06,No
WO-00001-T08,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,Not OK,47.11,Deviation observed - abnormality raised,TECH-02,2024-09-06,Yes
WO-00001-T09,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,OK,39.88,,TECH-02,2024-09-06,No
WO-00001-T10,WO-00001,MC-001,CNC Lathe TL-01,CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,OK,29.46,,TECH-02,2024-09-06,No
