ReplacementID,SourceType,SourceID,RequestID,MachineID,MachineName,CellID,MachineType,PartNo,PartName,Category,UOM,QtyReplaced,UnitCostINR,TotalCostINR,ReplacedByTechID,ReplacedByName,ReplacedDate,OldPartCondition,WarrantyClaim,Remarks
REP-00001,PM,WO-00006,REQ-00002,MC-001,CNC Lathe TL-01,CELL-01,CNC Turning Center,SP-1002,Way wiper kit X/Z,Seal,Kit,1,2400,2400,TECH-01,Arun Kumar,2025-01-05,Preventive replacement,No,Old part scrapped - tag 24728
REP-00002,PM,WO-00011,REQ-00004,MC-001,CNC Lathe TL-01,CELL-01,CNC Turning Center,SP-1001,Spindle bearing set 7014,Bearing,Set,2,18500,37000,TECH-03,Mohammed Rafi,2025-04-03,End of life,No,Old part scrapped - tag 43902
REP-00003,PM,WO-00022,REQ-00005,MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Center,SP-1003,Coolant pump 0.75 kW,Pump,No,1,12800,12800,TECH-03,Mohammed Rafi,2025-11-10,Seized,No,Old part scrapped - tag 11092
REP-00004,PM,WO-00024,REQ-00007,MC-004,Bar Feeder BF-01,CELL-01,Conveyor System,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-01,Arun Kumar,2025-11-18,Preventive replacement,Yes,Old part scrapped - tag 51347
REP-00005,PM,WO-00028,REQ-00009,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Center,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-01,Arun Kumar,2026-02-17,Broken,Yes,Old part scrapped - tag 99694
REP-00006,PM,WO-00035,REQ-00011,MC-005,Chip Conveyor CC-01,CELL-01,Conveyor System,SP-1086,Gear reducer 1:30,Mechanical,No,3,24600,73800,TECH-01,Arun Kumar,2026-05-26,Preventive replacement,Yes,Old part scrapped - tag 60096
REP-00007,PM,WO-00064,REQ-00012,MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Center,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-02,Suresh Babu,2025-06-05,Preventive replacement,Yes,Old part scrapped - tag 80956
REP-00008,PM,WO-00069,REQ-00014,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Center,SP-1002,Way wiper kit X/Z,Seal,Kit,3,2400,7200,TECH-02,Suresh Babu,2025-09-10,Leaking,No,Old part scrapped - tag 29073
REP-00009,PM,WO-00092,REQ-00015,MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,SP-1020,Hob spindle bearing,Bearing,No,1,22400,22400,TECH-03,Mohammed Rafi,2024-10-09,End of life,Yes,Old part scrapped - tag 84323
REP-00010,PM,WO-00096,REQ-00016,MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,SP-1022,Timing belt HTD 8M,Belt,No,1,3600,3600,TECH-01,Arun Kumar,2025-04-02,End of life,No,Old part scrapped - tag 71441
REP-00011,PM,WO-00101,REQ-00017,MC-011,Gear Hobber GH-02,CELL-03,Gear Hobbing Machine,SP-1021,Index table oil seal,Seal,No,1,1800,1800,TECH-01,Arun Kumar,2025-08-13,Seized,Yes,Old part scrapped - tag 97993
REP-00012,PM,WO-00126,REQ-00019,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1033,Quench agitator seal kit,Seal,Kit,1,6800,6800,TECH-06,Deepak Nair,2025-02-10,End of life,No,Old part scrapped - tag 15144
REP-00013,PM,WO-00130,REQ-00020,MC-014,Sealed Quench SQ-01,CELL-04,Sealed Quench Furnace,SP-1033,Quench agitator seal kit,Seal,Kit,2,6800,13600,TECH-06,Deepak Nair,2025-06-02,Seized,Yes,Old part scrapped - tag 48590
REP-00014,PM,WO-00132,REQ-00021,MC-016,Tempering Furnace TF-01,CELL-04,Tempering Furnace,SP-1035,Burner ignition electrode,Furnace,No,3,5600,16800,TECH-02,Suresh Babu,2025-05-15,Preventive replacement,No,Old part scrapped - tag 33562
REP-00015,PM,WO-00136,REQ-00022,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1032,Door seal rope 25 mm,Seal,Mtr,2,650,1300,TECH-02,Suresh Babu,2025-07-12,End of life,No,Old part scrapped - tag 36467
REP-00016,PM,WO-00139,REQ-00024,MC-018,HT Compressor AC-01,CELL-04,Air Compressor,SP-1082,Compressor oil 20 L,Lubricant,Can,2,7200,14400,TECH-02,Suresh Babu,2025-07-27,End of life,No,Old part scrapped - tag 30958
REP-00017,PM,WO-00147,REQ-00026,MC-016,Tempering Furnace TF-01,CELL-04,Tempering Furnace,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-02,Suresh Babu,2026-01-14,Broken,No,Old part scrapped - tag 10463
REP-00018,PM,WO-00151,REQ-00028,MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-02,Suresh Babu,2026-05-04,Worn out,No,Old part scrapped - tag 10861
REP-00019,PM,WO-00152,REQ-00029,MC-016,Tempering Furnace TF-01,CELL-04,Tempering Furnace,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-06,Deepak Nair,2026-04-15,Broken,Yes,Old part scrapped - tag 95626
REP-00020,PM,WO-00154,REQ-00030,MC-018,HT Compressor AC-01,CELL-04,Air Compressor,SP-1082,Compressor oil 20 L,Lubricant,Can,1,7200,7200,TECH-02,Suresh Babu,2026-04-29,Worn out,No,Old part scrapped - tag 33363
REP-00021,PM,WO-00159,REQ-00032,MC-018,HT Compressor AC-01,CELL-04,Air Compressor,SP-1082,Compressor oil 20 L,Lubricant,Can,2,7200,14400,TECH-06,Deepak Nair,2026-07-30,Seized,No,Old part scrapped - tag 18509
REP-00022,PM,WO-00190,REQ-00034,MC-019,Assembly Stn AS-01,CELL-05,Assembly Station,SP-1040,Torque transducer 30 Nm,Instrument,No,3,32000,96000,TECH-07,Ramesh Chandran,2025-04-06,End of life,No,Old part scrapped - tag 44034
REP-00023,PM,WO-00194,REQ-00035,MC-023,Assy Conveyor CV-01,CELL-05,Conveyor System,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-07,Ramesh Chandran,2025-04-24,Broken,No,Old part scrapped - tag 40503
REP-00024,PM,WO-00202,REQ-00037,MC-021,Assembly Stn AS-03,CELL-05,Assembly Station,SP-1041,Poka-yoke proximity sensor,Electrical,No,3,2200,6600,TECH-07,Ramesh Chandran,2026-01-16,Leaking,Yes,Old part scrapped - tag 18891
