ChecklistID,TaskNo,TaskDescription,TaskType,AcceptanceStandard,Mandatory,SafetyCritical,EstMinutes
CL-CNC-TURN,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,18
CL-CNC-TURN,2,"Clean chip conveyor, coolant tank and chip tray",Cleaning,No chip accumulation,Yes,No,20
CL-CNC-TURN,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,15
CL-CNC-TURN,4,Check way lube level and top up,Lubrication,Above MIN mark,Yes,No,16
CL-CNC-TURN,5,Inspect way covers and wipers for damage,Visual,No tear / no leak,Yes,No,18
CL-CNC-TURN,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,14
CL-CNC-TURN,7,Spindle temperature after 30 min run,Measurement,<= 55 deg C,Yes,No,17
CL-CNC-TURN,8,Check hydraulic pressure,Measurement,35 - 40 bar,Yes,No,14
CL-CNC-TURN,9,Turret indexing time and repeatability,Measurement,<= 1.2 s,Yes,No,18
CL-CNC-TURN,10,Tailstock / chuck clamping pressure,Measurement,18 - 22 bar,Yes,Yes,17
CL-CNC-TURN,11,Check air filter / regulator / lubricator (FRL),Visual,"Bowl clean, no water",Yes,No,20
CL-CNC-TURN,12,Verify E-stop and door interlock function,Safety,Stops within 1 s,Yes,Yes,18
CL-CNC-TURN,13,Backlash check X and Z axis,Measurement,<= 0.01 mm,No,No,15
CL-CNC-TURN,14,Electrical panel cleaning and terminal tightness,Electrical,"No dust, no loose lug",Yes,Yes,20
CL-CNC-MILL,1,Lock out / tag out verified before start,Safety,LOTO applied,Yes,Yes,18
CL-CNC-MILL,2,"Clean work enclosure, chip auger and coolant tank",Cleaning,No chip accumulation,Yes,No,20
CL-CNC-MILL,3,Check coolant concentration,Measurement,6 - 9 %,Yes,No,15
CL-CNC-MILL,4,Grease ball screws and linear guides,Lubrication,As per lube chart,Yes,No,17
CL-CNC-MILL,5,Spindle taper cleaning and condition check,Visual,No fretting / burr,Yes,No,18
CL-CNC-MILL,6,Spindle vibration check,Measurement,<= 2.8 mm/s RMS,Yes,No,14
CL-CNC-MILL,7,ATC arm alignment and tool clamp force,Measurement,Within OEM spec,Yes,Yes,18
CL-CNC-MILL,8,Check hydraulic / pneumatic pressure,Measurement,5.5 - 6.5 bar,Yes,No,17
CL-CNC-MILL,9,Verify axis home position repeatability,Measurement,<= 0.005 mm,No,No,18
