RequestID,SourceType,SourceID,MachineID,MachineName,CellID,PartNo,PartName,Category,UOM,QtyRequested,UnitCostINR,TotalCostINR,RequestedByTechID,RequestedByName,RequestDate,Urgency,Status,ApprovedDate,ApprovedBy,IssuedDate,LeadTimeDays,StoreBin,RejectionReason
REQ-00001,PM,WO-00001,MC-001,CNC Lathe TL-01,CELL-01,SP-1005,Chuck jaw set 8 inch,Tooling,Set,2,9200,18400,TECH-02,Suresh Babu,2024-09-06,Planned,Approved,2024-09-08,Maintenance Head,,20,A-03-02,
REQ-00002,PM,WO-00006,MC-001,CNC Lathe TL-01,CELL-01,SP-1002,Way wiper kit X/Z,Seal,Kit,1,2400,2400,TECH-01,Arun Kumar,2025-01-05,Planned,Issued,2025-01-07,Maintenance Head,2025-01-08,21,A-01-05,
REQ-00003,PM,WO-00008,MC-003,CNC Lathe TL-03,CELL-01,SP-1002,Way wiper kit X/Z,Seal,Kit,3,2400,7200,TECH-02,Suresh Babu,2025-02-01,Planned,Purchase Raised,2025-02-03,Maintenance Head,,21,A-01-05,
REQ-00004,PM,WO-00011,MC-001,CNC Lathe TL-01,CELL-01,SP-1001,Spindle bearing set 7014,Bearing,Set,2,18500,37000,TECH-03,Mohammed Rafi,2025-04-03,Planned,Issued,2025-04-04,Maintenance Head,2025-04-05,45,A-01-03,
REQ-00005,PM,WO-00022,MC-002,CNC Lathe TL-02,CELL-01,SP-1003,Coolant pump 0.75 kW,Pump,No,1,12800,12800,TECH-03,Mohammed Rafi,2025-11-10,Planned,Issued,2025-11-12,Maintenance Head,2025-11-12,30,A-02-01,
REQ-00006,PM,WO-00023,MC-003,CNC Lathe TL-03,CELL-01,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-02,Suresh Babu,2025-11-18,Planned,Approved,2025-11-20,Maintenance Head,,30,A-02-01,
REQ-00007,PM,WO-00024,MC-004,Bar Feeder BF-01,CELL-01,SP-1087,Lubrication grease NLGI-2 1 kg,Lubricant,No,3,620,1860,TECH-01,Arun Kumar,2025-11-18,Planned,Issued,2025-11-21,Maintenance Head,2025-11-25,7,E-04-01,
REQ-00008,PM,WO-00027,MC-002,CNC Lathe TL-02,CELL-01,SP-1005,Chuck jaw set 8 inch,Tooling,Set,1,9200,9200,TECH-02,Suresh Babu,2026-02-08,Planned,Purchase Raised,2026-02-08,Maintenance Head,,20,A-03-02,
REQ-00009,PM,WO-00028,MC-003,CNC Lathe TL-03,CELL-01,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-01,Arun Kumar,2026-02-17,Planned,Issued,2026-02-20,Maintenance Head,2026-02-25,30,A-02-01,
REQ-00010,PM,WO-00031,MC-001,CNC Lathe TL-01,CELL-01,SP-1003,Coolant pump 0.75 kW,Pump,No,3,12800,38400,TECH-02,Suresh Babu,2026-05-04,Planned,Pending Approval,,,,30,A-02-01,
