Checklist_ID,Item_No,Check_Point,Check_Type,Acceptance_Standard,Safety_Critical,Expected_Time_Min,Active
CL-PRESS,1,Slide / ram guideway lubrication,Visual,"Grease film present, no dry patch",No,10,Yes
CL-PRESS,2,Clutch & brake air pressure,Measurement,5.0 - 6.0 bar,No,10,Yes
CL-PRESS,3,Die clamping bolt torque,Measurement,As per torque chart,No,8,Yes
CL-PRESS,4,Safety light curtain function,Functional,Stops ram within 200 ms,Yes,5,Yes
CL-PRESS,5,Flywheel bearing temperature,Measurement,< 60 deg C,No,8,Yes
CL-PRESS,6,Oil level in gearbox,Visual,Between min and max mark,No,8,Yes
CL-PRESS,7,Air line FRL water drain,Visual,"Bowl empty, drain free",No,5,Yes
CL-PRESS,8,Emergency stop function,Functional,Machine stops in all modes,Yes,3,Yes
CL-WELD,1,Electrode tip dressing condition,Visual,"Flat, no mushrooming",No,3,Yes
CL-WELD,2,Weld current calibration,Measurement,Within +/- 3% of set value,No,8,Yes
CL-WELD,3,Cooling water flow rate,Measurement,> 4 LPM,No,5,Yes
CL-WELD,4,Transformer terminal tightness,Functional,"No discoloration, torque OK",No,8,Yes
CL-WELD,5,Pneumatic cylinder leak check,Visual,No audible leak,No,8,Yes
CL-WELD,6,Earth continuity,Measurement,< 1 ohm,No,8,Yes
CL-FILL,1,Vibrator motor mounting bolts,Visual,"All bolts tight, no crack",No,3,Yes
CL-FILL,2,Sand hopper level sensor,Functional,Triggers at set level,No,3,Yes
CL-FILL,3,Filling nozzle wear,Measurement,Bore within 0.2 mm of nominal,No,3,Yes
CL-FILL,4,Compaction cycle time,Measurement,Within +/- 5% of standard,No,8,Yes
CL-FILL,5,Dust extraction suction,Measurement,> 15 m/s at hood,No,5,Yes
CL-FILL,6,Conveyor belt tracking,Visual,"Centered, no edge rub",No,3,Yes
CL-FILL,7,PLC battery status,Functional,No low-battery alarm,No,5,Yes
CL-OVEN,1,Door gasket condition,Visual,"No cut, seals fully",No,5,Yes
CL-OVEN,2,Steam trap operation,Functional,"Discharging, no live steam",No,5,Yes
CL-OVEN,3,Temperature sensor calibration,Measurement,Within +/- 2 deg C of master,No,10,Yes
CL-OVEN,4,Safety relief valve test,Functional,Lifts at set pressure,Yes,8,Yes
CL-OVEN,5,Insulation surface temperature,Measurement,< 55 deg C,No,5,Yes
CL-OVEN,6,Condensate drain line,Visual,"Free flow, no blockage",No,8,Yes
CL-TEST,1,Calibration validity,Visual,Within due date,No,5,Yes
CL-TEST,2,Test lead / probe condition,Visual,"No fray, firm contact",No,5,Yes
CL-TEST,3,Reference standard verification,Measurement,Within stated accuracy,No,8,Yes
CL-TEST,4,Earthing of test bench,Measurement,< 1 ohm,No,5,Yes
CL-TEST,5,Interlock and guard function,Functional,Test inhibited when open,Yes,3,Yes
CL-VISION,1,Camera lens cleanliness,Visual,No smear or dust,No,8,Yes
CL-VISION,2,Lighting intensity,Measurement,Within recipe tolerance,No,10,Yes
CL-VISION,3,Reject gate actuation,Functional,Rejects within 2 stations,No,3,Yes
CL-VISION,4,Master sample pass/fail check,Functional,100% correct classification,No,3,Yes
CL-FEED,1,Feed roller wear,Visual,"No slip, no groove",No,10,Yes
CL-FEED,2,Servo backlash check,Measurement,< 0.05 mm,No,3,Yes
CL-FEED,3,Strip guide alignment,Measurement,Strip centered within 0.5 mm,No,3,Yes
CL-FEED,4,Lubrication unit level,Visual,Above min mark,No,5,Yes
CL-UTIL,1,Motor current draw,Measurement,Within nameplate FLC,No,5,Yes
CL-UTIL,2,Vibration level at bearing,Measurement,< 4.5 mm/s RMS,No,8,Yes
CL-UTIL,3,Coupling / belt condition,Visual,"No crack, correct tension",No,8,Yes
CL-UTIL,4,Panel cleanliness and glands,Visual,"No dust ingress, glands sealed",No,8,Yes
CL-UTIL,5,Leak check on all joints,Visual,No leak,No,5,Yes
CL-GEN,1,General cleanliness and 5S,Visual,"No dust, tools in place",No,8,Yes
CL-GEN,2,Fastener tightness check,Functional,All fasteners tight,No,3,Yes
CL-GEN,3,Guard and interlock function,Functional,Machine stops on guard open,Yes,5,Yes
CL-GEN,4,Lubrication as per chart,Visual,All points greased,No,8,Yes
CL-GEN,5,Electrical panel inspection,Visual,No loose wire or heating,No,3,Yes
CL-GEN,6,Abnormal noise / vibration,Visual,No abnormal sound,No,8,Yes
