MachineID,MachineName,CellID,MachineType,Make,Model,SerialNo,InstallDate,Criticality,Location,ChecklistID,PMStdMinutes,QRPayload,Active
MC-001,CNC Lathe TL-01,CELL-01,CNC Turning Center,Doosan,Puma 2600SY,SN20160001,2016-06-08,A,CELL-01 / Bay 1,CL-CNC-TURN,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-001,Yes
MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Center,Doosan,Puma 2600SY,SN20170002,2017-11-15,A,CELL-01 / Bay 2,CL-CNC-TURN,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-002,Yes
MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Center,Mazak,QTN 250MY,SN20180003,2018-04-22,A,CELL-01 / Bay 3,CL-CNC-TURN,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-003,Yes
MC-004,Bar Feeder BF-01,CELL-01,Conveyor System,LNS,Quick6,SN20190004,2019-09-02,C,CELL-01 / Bay 4,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-004,Yes
MC-005,Chip Conveyor CC-01,CELL-01,Conveyor System,Hennig,HC-400,SN20200005,2020-02-09,C,CELL-01 / Bay 1,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-005,Yes
MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Center,Haas,ST-30,SN20210006,2021-07-16,A,CELL-02 / Bay 2,CL-CNC-TURN,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-006,Yes
MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Center,Haas,ST-30,SN20220007,2022-12-23,B,CELL-02 / Bay 3,CL-CNC-TURN,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-007,Yes
MC-008,VMC MC-01,CELL-02,CNC Machining Center,Makino,PS95,SN20230008,2023-05-03,A,CELL-02 / Bay 4,CL-CNC-MILL,165,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-008,Yes
MC-009,VMC MC-02,CELL-02,CNC Machining Center,Makino,PS95,SN20150009,2015-10-10,B,CELL-02 / Bay 1,CL-CNC-MILL,165,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-009,Yes
MC-010,Gear Hobber GH-01,CELL-03,Gear Hobbing Machine,Liebherr,LC180,SN20160010,2016-03-17,A,CELL-03 / Bay 2,CL-GEAR,180,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-010,Yes
MC-011,Gear Hobber GH-02,CELL-03,Gear Hobbing Machine,Mitsubishi,GE15A,SN20170011,2017-08-24,A,CELL-03 / Bay 3,CL-GEAR,180,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-011,Yes
MC-012,Gear Shaver GS-01,CELL-03,Gear Shaving Machine,Gleason,Genesis 160,SN20180012,2018-01-04,B,CELL-03 / Bay 4,CL-GEAR,150,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-012,Yes
MC-013,Deburring Unit DB-01,CELL-03,Conveyor System,Rosler,R320,SN20190013,2019-06-11,C,CELL-03 / Bay 1,CL-UTIL,80,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-013,Yes
MC-014,Sealed Quench SQ-01,CELL-04,Sealed Quench Furnace,Ipsen,T-6,SN20200014,2020-11-18,A,CELL-04 / Bay 2,CL-FURNACE,240,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-014,Yes
MC-015,Sealed Quench SQ-02,CELL-04,Sealed Quench Furnace,Ipsen,T-6,SN20210015,2021-04-25,A,CELL-04 / Bay 3,CL-FURNACE,240,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-015,Yes
MC-016,Tempering Furnace TF-01,CELL-04,Tempering Furnace,Aichelin,TF-900,SN20220016,2022-09-05,A,CELL-04 / Bay 4,CL-FURNACE,180,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-016,Yes
MC-017,Quench Oil Chiller CH-01,CELL-04,Chiller Unit,Voltas,VC-60TR,SN20230017,2023-02-12,B,CELL-04 / Bay 1,CL-UTIL,130,https://apps.powerapps.com/play/e/<ENV_ID>/a/<APP_ID>?tenantId=<TENANT_ID>&source=qr&type=machine&id=MC-017,Yes
